,URL,NameResort,Stars,Km Freeride
199,http://www.skiresort.info/ski-resort/pitztal-glacier-pitztaler-gletscher/,. Pitztal Glacier (Pitztaler Gletscher),3,0.0
200,http://www.skiresort.info/ski-resort/hoernerbahn-bolsterlang/,. Hörnerbahn – Bolsterlang,3,3.0
201,http://www.skiresort.info/ski-resort/brauneck-lenggrieswegscheid/,. Brauneck – Lenggries/Wegscheid,3,0.0
202,http://www.skiresort.info/ski-resort/civetta-allegheselva-di-cadorepalafaverazoldo/,. Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo,3,0.0
203,http://www.skiresort.info/ski-resort/oberjoch-bad-hindelang-iseler/,. Oberjoch (Bad Hindelang) – Iseler,3,6.0
204,http://www.skiresort.info/ski-resort/vent/,. Vent,3,0.0
205,http://www.skiresort.info/ski-resort/st-johann-in-tiroloberndorf-harschbichl/,. St. Johann in Tirol/Oberndorf – Harschbichl,3,1.0
206,http://www.skiresort.info/ski-resort/christlum-achenkirch/,. Christlum – Achenkirch,3,0.0
207,http://www.skiresort.info/ski-resort/alpe-di-siusi-seiser-alm/,. Alpe di Siusi (Seiser Alm),3,0.0
208,http://www.skiresort.info/ski-resort/geilo/,. Geilo,3,0.0
209,http://www.skiresort.info/ski-resort/hafjell/,. Hafjell,3,0.0
210,http://www.skiresort.info/ski-resort/les-houchessaint-gervais-prarionbellevue-chamonix/,. Les Houches/Saint-Gervais – Prarion/Bellevue (Chamonix),3,0.0
211,http://www.skiresort.info/ski-resort/spitzingsee-tegernsee/,. Spitzingsee-Tegernsee,3,0.0
212,http://www.skiresort.info/ski-resort/rinerhorn-davos-klosters/,. Rinerhorn (Davos Klosters),3,6.0
213,http://www.skiresort.info/ski-resort/sudelfeld-bayrischzell/,. Sudelfeld – Bayrischzell,3,1.9
214,http://www.skiresort.info/ski-resort/venet-landeckzamsfliess/,. Venet – Landeck/Zams/Fliess,3,2.0
215,http://www.skiresort.info/ski-resort/turracher-hoehe/,. Turracher Höhe,3,1.0
216,http://www.skiresort.info/ski-resort/walmendingerhornheuberg-mittelberghirschegg/,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,3,4.6
